year,CO2
1850,284.725
1851,284.875
1852,285
1853,285.125
1854,285.275
1855,285.425
1856,285.575
1857,285.725
1858,285.9
1859,286.075
1860,286.225
1861,286.375
1862,286.5
1863,286.625
1864,286.775
1865,286.9
1866,287
1867,287.1
1868,287.225
1869,287.375
1870,287.525
1871,287.7
1872,287.9
1873,288.125
1874,288.4
1875,288.7
1876,289.025
1877,289.4
1878,289.8
1879,290.225
1880,290.7
1881,291.2
1882,291.675
1883,292.125
1884,292.575
1885,292.975
1886,293.3
1887,293.575
1888,293.8
1889,294
1890,294.175
1891,294.325
1892,294.475
1893,294.6
1894,294.7
1895,294.8
1896,294.9
1897,295.025
1898,295.225
1899,295.5
1900,295.8
1901,296.125
1902,296.475
1903,296.825
1904,297.2
1905,297.625
1906,298.075
1907,298.5
1908,298.9
1909,299.3
1910,299.7
1911,300.075
1912,300.425
1913,300.775
1914,301.1
1915,301.4
1916,301.725
1917,302.075
1918,302.4
1919,302.7
1920,303.025
1921,303.4
1922,303.775
1923,304.125
1924,304.525
1925,304.975
1926,305.4
1927,305.825
1928,306.3
1929,306.775
1930,307.225
1931,307.7
1932,308.175
1933,308.6
1934,309
1935,309.4
1936,309.75
1937,310
1938,310.175
1939,310.3
1940,310.375
1941,310.375
1942,310.3
1943,310.2
1944,310.125
1945,310.1
1946,310.125
1947,310.2
1948,310.325
1949,310.5
1950,310.75
1951,311.1
1952,311.5
1953,311.925
1954,312.425
1955,313
1956,313.6
1957,314.225
1958,314.8475
1959,315.5
1960,316.2725
1961,317.075
1962,317.795
1963,318.3975
1964,318.925
1965,319.6475
1966,320.6475
1967,321.605
1968,322.635
1969,323.9025
1970,324.985
1971,325.855
1972,327.14
1973,328.6775
1974,329.7425
1975,330.585
1976,331.7475
1977,333.2725
1978,334.8475
1979,336.525
1980,338.36
1981,339.7275
1982,340.7925
1983,342.1975
1984,343.7825
1985,345.2825
1986,346.7975
1987,348.645
1988,350.7375
1989,352.4875
1990,353.855
1991,355.0175
1992,355.885
1993,356.7775
1994,358.1275
1995,359.8375
1996,361.4625
1997,363.155
1998,365.3225
1999,367.3475
2000,368.865
2001,370.4675
2002,372.5225
2003,374.76
2004,376.8125
2005,378.8125
2006,380.8275
2007,382.7775
2008,384.8
2009,387.00054
2010,389.28521
2011,391.56252
2012,393.84273
2013,396.11734
2014,398.39568
2015,400.68068
2016,402.9683
2017,405.25182
2018,407.52882
2019,409.80029
2020,412.06783
2021,414.32565
2022,416.51662
2023,418.60322
2024,420.60132
2025,422.51575
2026,424.34901
2027,426.09675
2028,427.75232
2029,429.31381
2030,430.78315
2031,432.16344
2032,433.43618
2033,434.59273
2034,435.65302
2035,436.62804
2036,437.52158
2037,438.33433
2038,439.06015
2039,439.69061
2040,440.2224
2041,440.65666
2042,441.02476
2043,441.34651
2044,441.621
2045,441.8644
2046,442.08482
2047,442.2834
2048,442.4583
2049,442.60091
2050,442.70046
2051,442.75184
2052,442.761
2053,442.73417
2054,442.66263
2055,442.54767
2056,442.40642
2057,442.24833
2058,442.07535
2059,441.88625
2060,441.67274
2061,441.42415
2062,441.1345
2063,440.80284
2064,440.43041
2065,440.01021
2066,439.54473
2067,439.05222
2068,438.54291
2069,438.01932
2070,437.48062
2071,436.91878
2072,436.34251
2073,435.76436
2074,435.18189
2075,434.595
2076,433.99542
2077,433.38456
2078,432.77961
2079,432.18978
2080,431.61659
2081,431.05847
2082,430.51026
2083,429.96413
2084,429.41411
2085,428.85906
2086,428.2991
2087,427.72652
2088,427.14308
2089,426.56607
2090,426.00472
2091,425.46065
2092,424.93745
2093,424.43129
2094,423.93083
2095,423.43058
2096,422.92945
2097,422.42761
2098,421.91753
2099,421.40111
2100,420.89546
